name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Angry Goat Pepper Co. Pink Elephant Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-pink-elephant-hot-sauce/
"Burns & McCoy Especia Roja Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Especia-Roja-Hot-Sauce/
"Hellfire Firearrhea Hot Sauce, 5oz.",$17.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Firearrhea-Hot-Sauce/
"Hellfire Hellboy Annung un Rama Hot Sauce, 5oz.",$13.00,$11.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Annung-Un-Rama-Hot-Sauce/
"Hellfire Hellboy Extreme Hot Sauce, 5oz.",$18.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Extreme-Hot-Sauce/
"Hellfire Hellboy Legendary AF Hot Sauce, 5oz.",$17.00,$15.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Legendary-AF-Hot-Sauce/
"Hellfire Pure Hell Hot Sauce, 5oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-pure-hell-hot-sauce/
"Tabasco Raspberry Chipotle Hot Sauce, 5oz.",$11.00,$8.95,Tabasco,https://www.hotsauce.com/tabasco-raspberry-chipotle-hot-sauce/
