name,priceNormal,priceWithoutax,branch,link
"Bourbon Q Gold Reserve Roasted Garlic and Chipotle Kentucky Bourbon BBQ, 12.7oz.",$8.50,$7.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Gold-Reserve-Roasted-Garlic-And-Chipotle-Kentucky-Bourbon-BBQ/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"CaJohn's Wild Mushroom Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/Cajohns-Wild-Mushroom-Hot-Sauce/
"Choke Your Chicken Garlic Habanero Hot Sauce, 5oz.",$9.50,$7.95,HotSauce,https://www.hotsauce.com/choke-your-chicken-garlic-habanero-hot-sauce/
"Don't Fuck With Me I'm Hot XXX Extract Hot Sauce, 5oz.",$8.50,$7.95,Hot Sauce Fanatics,https://www.hotsauce.com/dont-fuck-with-me-im-hot-xxx-extract-hot-sauce/
"Dr. Assburn's Fire Roasted Habanero Pepper Sauce, 5.7oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/dr-assburns-fire-roasted-habanero-pepper-sauce/
"Fat Cat Cat in Heat Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-cat-in-heat-hot-sauce/
"Fuckin' Hot Sauces Gift Box, 4/5oz.",$31.50,$27.95,HotSauce,https://www.hotsauce.com/fuckin-hot-sauces-gift-box/
"Ghost Scream Chili Garlic Paste, 9oz.",$14.00,$11.95,Ghost Scream,https://www.hotsauce.com/ghost-scream-chili-garlic-paste/
"Ghost Scream Hot Sauce, 5oz.",$8.50,$7.95,Ghost Scream,https://www.hotsauce.com/ghost-scream-hot-sauce/
"Hellfire Blueberry Hell Hot Sauce, 5oz.",$10.50,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-blueberry-hell-hot-sauce/
"Hellfire Fear This! Reaper Hot Sauce, 5oz.",$16.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fear-this-reaper-hot-sauce/
"Hellfire Gourmet Red Hot Sauce, 5oz.",$9.00,$7.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-gourmet-red-hot-sauce/
"Hellfire Lucifer's Last Blast Hot Sauce, 5oz.",$17.00,$15.49,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Lucifers-Last-Blast-Hot-Sauce/
"Hellhound Ghost Pepper Sauce, 5.7oz.",$15.00,$11.95,HotSauce,https://www.hotsauce.com/hellhound-ghost-pepper-sauce/
