Name,Price,Price witout Tax,Brand,Link
"American Style BBQ Beef Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-beef-barbecue-sauce/
"American Style BBQ Chicken Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-chicken-barbecue-sauce/
"American Style BBQ Pork Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-pork-barbecue-sauce/
"Anal Angst X-Hot Hot Sauce, 5.7oz.",$8.50,$7.95,Professor Payne,https://www.hotsauce.com/Anal-Angst-X-Hot-Hot-Sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Ass Kickin Ass Blaster Original Chili, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ass-blaster-chili/
"Ass Kickin Barbecue Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-barbecue-popcorn/
"Ass Kickin Beef Jerky, 4oz.",$15.00,$11.95,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Beef-Jerky/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Chile Lime Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-popcorn/
"Ass Kickin Hot Habanero Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-habanero-popcorn/
"Ass Kickin Hot Sriracha Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-sriracha-popcorn/
"Ass Kickin Scorpion Pepper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-scorpion-pepper-hot-sauce/
"Ass Kickin Snack Mix with Habanero Pepper, 10oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-snack-mix-habanero-pepper/
"Ass Kickin Steak Sauce with Habanero, 10oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-steak-sauce/
"Blair's Q Heat Habanero Mango Exotic Hot Sauce, 8.44oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-habanero-mango-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Blair's Sudden Death Sauce with Ginseng, 5oz.",$22.00,$18.95,Blairs Sauces,https://www.hotsauce.com/blairs-sudden-death-sauce-with-ginseng/
"Blind Betty's Original Recipe Hot Sauce, 5oz.",$7.00,$6.49,Blind Bettys,https://www.hotsauce.com/blind-bettys-original-recipe-hot-sauce/
"Blind Betty's Pineapple Pizzazz Hot Sauce, 5oz.",$7.00,$6.49,Blind Bettys,https://www.hotsauce.com/blind-bettys-pineapple-pizzazz-hot-sauce/
