Name,Price,Price witout Tax,Brand,Link
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"CaJohn's Memento Mori Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Cajohns-Memento-Mori-Hot-Sauce/
"CaJohn's Mesquite Smoked Tequila Lime Chile Barbeque Sauce, 16oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-mesquite-smoked-tequila-lime-chile-barbeque-sauce/
"Crazy Jerry's Margarita Butt Burner Hot Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-butt-burner-hot-salsa/
"Crazy Jerry's Margarita No Sweat Mild Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-no-sweat-mild-salsa/
"Day Of The Dead w/ Skeleton Keychain, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/day-of-the-dead-skeleton-keychain/
"Haboob Heat One Hot Prick Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/Haboob-Heat-Hot-Sauce/
"High River Sauces Thunder Juice Tequila Infused Hot Sauce, 5oz.",$11.50,$10.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Thunder-Juice-Tequila-Infused-Hot-Sauce/
"Key West Key Lime BBQ Sauce, 16oz.",$7.50,$6.95,Key West Key Lime,https://www.hotsauce.com/key-west-key-lime-bbq-sauce/
"Sir Fartalot's Hot Sauce, 5oz.",$7.50,$6.95,CaJohns,https://www.hotsauce.com/sir-fartalots-hot-sauce/
