name,priceNormal,priceWithoutax,branch,link
"Blair's Golden Death Sauce with Chipotle, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-golden-death-sauce-with-chipotle/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Bone Suckin Honey & Habanero Wing Sauce, 12.25oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-honey-habanero-wing-sauce/
"Bone Suckin Sweet Spicy Mustard, 12oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sweet-hot-mustard/
"CaJohn's Chipotle Picante Sauce Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-chipotle-picante-sauce-gourmet-salsa/
"CaJohn's Dog-On Good Mustard, 12oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-dog-on-good-mustard/
"CaJohn's El Chupacabra Hot Sauce, 5oz.",$14.50,$12.95,CaJohns,https://www.hotsauce.com/cajohns-el-chupacabra-hot-sauce/
"Colon Cleaner (Professor Phardtpounders), 5.7oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/Colon-Cleaner-Professor-Phardtpounders/
"Hellfire Hellboy Right Hand of Doom Hot Sauce, 5oz.",$19.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Right-Hand-Of-Doom-Hot-Sauce/
"Historic Lynchburg Tennessee Whiskey Seasoned Salt, 8.3oz",$7.50,$6.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-seasoned-salt/
"Howler Monkey Amarillo Hot Sauce, 5oz.",$6.50,$5.95,Howler Monkey,https://www.hotsauce.com/howler-monkey-amarillo-hot-sauce/
"Howler Monkey Red Hot Sauce, 5oz.",$6.50,$5.95,Howler Monkey,https://www.hotsauce.com/howler-monkey-red-hot-sauce/
"JohnBoy and Billy's Hot & Spicy Grillin' Sauce, 19oz.",$7.50,$6.95,JohnBoy & Billys,https://www.hotsauce.com/johnboy-and-billys-hot-spicy-grillin-sauce/
"JohnBoy and Billy's Original Grillin' Sauce, 19oz.",$7.50,$6.95,JohnBoy & Billys,https://www.hotsauce.com/johnboy-and-billys-original-grillin-sauce/
"Pain Is Good Batch #37 Garlic Style Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-37-garlic-style-hot-sauce/
"Pain is Good Habanero Hot Sauce, 7oz.",$12.00,$10.49,Pain Is Good,https://www.hotsauce.com/most-wanted-pain-is-good-habanero-hot-sauce/
"Ring of Fire Spicy Mustard, 14oz.",$11.00,$9.95,Ring Of Fire,https://www.hotsauce.com/ring-of-fire-spicy-mustard/
"Sauce Bae Hotter Habanero Hot Sauce, 5oz.",$8.00,$7.49,NONE,https://www.hotsauce.com/Sauce-Bae-Hotter-Habanero-Hot-Sauce/
"Sauce Bae Skinny Habanero Hot Sauce, 5oz.",$8.00,$7.49,NONE,https://www.hotsauce.com/Sauce-Bae-Skinny-Habanero-Hot-Sauce/
"TABASCO® Spicy Pickled Okra, 12oz.",$8.50,$7.95,Tabasco,https://www.hotsauce.com/tabasco-spicy-pickled-okra/
"Torchbearer Carolina-Style BBQ Sauce, 12oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-carolina-style-bbq-sauce/
"Torchbearer Honey Mustard Sauce, 12oz.",$8.50,$7.95,Torchbearer,https://www.hotsauce.com/torchbearer-honey-mustard-sauce/
