Name,Price,Price witout Tax,Brand,Link
"Alice Cooper Poison Reaper Hot Sauce, 5oz.",$13.00,$12.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Poison-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Extreme Hot Sauces 3 Pack, 3/5oz.",$34.50,$29.85,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Extreme-Hot-Sauces-3-Pack/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Best of Carolina Reaper Gift Set #1, 3/5oz.",$43.50,$39.85,HotSauce,https://www.hotsauce.com/Best-Of-Carolina-Reaper-Gift-Set/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bravado Spice Co. Black Garlic Carolina Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Black-Garlic-Carolina-Reaper-Hot-Sauce/
"Burns & McCoy Devorandum Cherry & Trinidad Scorpion Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Devorandum-Cherry-Trinidad-Scorpion-Hot-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"CaJohn's Cerberus Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/Cajohns-Cerberus-Hot-Sauce/
"CaJohn's Classic Small Batch Carolina Reaper Pepper Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-carolina-reaper-pepper-sauce/
"CaJohn's Hottest Salsa's Gift Set, 3/16oz.",$33.00,$29.40,CaJohns,https://www.hotsauce.com/cajohns-hottest-salsas-gift-set/
"CaJohn's La Parca Reaper Hot Sauce, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-parca-reaper-hot-sauce/
"CaJohn's La Segadora Reaper Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-segadora-reaper-hot-sauce/
"CaJohn's Reaper Gift Set, 1/2oz, 1/5oz, 1/16oz.",$40.00,$35.40,CaJohns,https://www.hotsauce.com/cajohns-reaper-gift-set/
"CaJohn's Reaper Sling Blade Hot Sauce, 5oz.",$13.00,$10.95,CaJohns,https://www.hotsauce.com/cajohns-reaper-sling-blade-hot-sauce/
"CaJohn's Reaper Super Hot Salsa, 16oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-reaper-super-hot-salsa/
"CaJohn's The Reaper BBQ Sauce, 16oz.",$9.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-the-reaper-bbq-sauce/
"Carolina Reaper Flakes, 1/2oz.",$10.50,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-flakes/
"Carolina Reaper Pepper Powder, .5oz.",$11.00,$31.90,HotSauce,https://www.hotsauce.com/carolina-reaper-pepper-powder/
"Da Bomb Beyond Insanity and Torchbearer Garlic Reaper Hot Sauce Bundle, 5oz, 4oz.",$11.00,$12.00,Torchbearer,https://www.hotsauce.com/Da-Bomb-Beyond-Insanity-And-Torchbearer-Garlic-Reaper-Hot-Sauce-Bundle/
"Dave's Gourmet Carolina Reaper Pepper Hot Sauce, 5oz.",$34.50,$10.49,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Carolina-Reaper-Pepper-Hot-Sauce/
"ELijah's Xtreme Reaper Sauce, 5oz.",$11.00,$9.95,ELijahs Xtreme,https://www.hotsauce.com/elijahs-xtreme-reaper-sauce/
"Elijah's Xtreme Regret Scorpion Reaper Hot Sauce, 5oz.",$11.00,$9.95,ELijahs Xtreme,https://www.hotsauce.com/Elijahs-Xtreme-Regret-Scorpion-Reaper-Hot-Sauce/
"Heartbreaking Dawns (NEW) FERVOR Reaper Chile Hot Sauce, 5oz.",$11.00,$9.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-Fervor-Reaper-Chile-Hot-Sauce/
"Hellfire Blueberry Hell Hot Sauce, 5oz.",$10.50,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-blueberry-hell-hot-sauce/
Name,Price,Price witout Tax,Brand,Link
"Hellfire Fiery Fool Hot Sauce, 5oz.",$16.00,$13.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fiery-fool-hot-sauce/
"Hellfire Firearrhea Hot Sauce, 5oz.",$17.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Firearrhea-Hot-Sauce/
"Hellfire Lucifer's Last Blast Hot Sauce, 5oz.",$17.00,$15.49,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Lucifers-Last-Blast-Hot-Sauce/
"High River Sauces Foo Foo Mama Choo Hot Sauce, 5.4oz.",$12.00,$10.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-foo-foo-mama-choo-hot-sauce/
"High River Sauces Thunder Juice Tequila Infused Hot Sauce, 5oz.",$11.50,$10.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Thunder-Juice-Tequila-Infused-Hot-Sauce/
"Kentucky Straight Bourbon Hot Sauce Gift Box, 4/5oz.",$29.00,$26.95,Kentucky Straight,https://www.hotsauce.com/kentucky-straight-bourbon-hot-sauce-gift-box/
"Kentucky Straight Bourbon Reaper Pepper Hot Sauce, 5oz.",$10.00,$8.95,Kentucky Straight,https://www.hotsauce.com/kentucky-straight-bourbon-reaper-pepper-hot-sauce/
"Magic Plant Farms Carolina Reaper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-carolina-reaper-mash-puree/
"Pain is Good REAPER-ACHA Micro Batch Hot Sauce, 3.5oz.",$20.50,$15.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-reaper-acha-hot-sauce-3/
"Pain Is Good Ujang, Masala and Acha Gift Set, 2/3.5oz, 1/4oz.",$61.50,$47.85,Pain Is Good,https://www.hotsauce.com/pain-is-good-ujang-masala-and-acha-gift-set/
"Pucker Butt Hot Sauce Complete Gift Set, 7/5oz.",$127.00,$87.19,Pucker Butt,https://www.hotsauce.com/pucker-butt-hot-sauce-complete-gift-set/
"Pucker Butt I Dare You Stupit, 5oz.",$15.00,$12.95,Pucker Butt,https://www.hotsauce.com/pucker-butt-i-dare-you-stupit/
"Pucker Butt Purgatory, 5oz.",$13.50,$12.95,Pucker Butt,https://www.hotsauce.com/pucker-butt-purgatory/
"Pucker Butt The Reaper Hot Sauce, 5oz.",$23.00,$19.95,Pucker Butt,https://www.hotsauce.com/pucker-butt-the-reaper-hot-sauce/
"Reaper Evil Firearrhea Hot Sauces Gift Set, 3/5oz.",$51.00,$43.85,HotSauce,https://www.hotsauce.com/Reaper-Evil-Firearrhea-Hot-Sauces-Gift-Set/
"Reaper Hot Sauce, 5oz.",$11.50,$9.95,HotSauce,https://www.hotsauce.com/reaper-hot-sauce/
"Spicy Shark Megaladon Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Megaladon-Carolina-Reaper-Hot-Sauce/
