Name,Price,Price witout Tax,Brand,Link
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"Anchor Bar Honey BBQ Sauce, 14oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Honey-BBQ-Sauce/
"Anchor Bar Hot Wing Sauces Gift Box, 3/12oz.",$22.00,$19.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Hot-Wing-Sauces-Gift-Box/
"Anchor Bar Hotter Buffalo Wing Sauce, 12oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Hotter-Buffalo-Wing-Sauce/
"Anchor Bar Medium Original Buffalo Wing Sauce, 12oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Original-Buffalo-Wing-Sauce/
"Anchor Bar Suicidal Buffalo Wing Sauce, 13.6oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Suicidal-Buffalo-Wing-Sauce/
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Arizona Gunslinger Mega Diablo Extra Hot Pepper Sauce, 5oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Mega-Diablo-Extra-Hot-Pepper-Sauce/
"Ass In Antarctica Hot Sauce, 5oz.",$7.50,$6.95,Ass In The Tub,https://www.hotsauce.com/ass-in-antarctica-hot-sauce/
"Ass In Hell Hot Sauce, 5oz.",$10.50,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-hell-hot-sauce/
"Ass In Space Hot Sauce, 5oz.",$6.50,$5.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-Space-Hot-Sauce/
