Name,Price,Price witout Tax,Brand,Link
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"Arizona Gunslinger Chipotle Pepper Salsa, 16oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Chipotle-Pepper-Salsa/
"Ass Kickin Chipotle Honey Peanuts, 12oz.",$9.25,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chipotle-honey-peanuts/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Nuts Gift Set, 4/12oz.",$38.00,$36.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-nuts-gift-set/
"Best of Chipotle Hot Sauces Gift Set, 3/5oz.",$28.50,$28.39,HotSauce,https://www.hotsauce.com/Best-Of-Chipotle-Hot-Sauces-Gift-Set/
"Betty Hops Pale Ale Chipotle Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/betty-hops-pale-ale-chipotle-hot-sauce/
"Blair's Golden Death Sauce with Chipotle, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-golden-death-sauce-with-chipotle/
"Blair's Original Death Sauce with Chipotle, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-original-death-sauce-with-chipotle/
"Blair's Q Heat Chipotle Slam Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-chipotle-slam-exotic-hot-sauce/
Blair's Q Heat Exotic Hot Sauce Gourmet Sampler 4 Pack / 2oz.,$17.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-exotic-hot-sauce-gourmet-sampler-4-pack/
