name,priceNormal,priceWithoutax,branch,link
"Best of Fatalii Hot Sauces Gift Set, 3/5oz.",$28.50,$25.85,CaJohns,https://www.hotsauce.com/Best-Of-Fatalii-Hot-Sauces/
"Burns & McCoy Exitium Pineapple Ginger Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exitium-Pineapple-Ginger-Hot-Sauce/
"CaJohn's Rougaroux Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-rougaroux-hot-sauce/
"Challenge Yellow Fatalii Pepper Plant - 300,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-yellow-fatalii-pepper-plant/
"Devil's Biker Sauce Bitch Hot Sauces Gift Set, 3/5oz.",$19.00,$17.39,HotSauce,https://www.hotsauce.com/Devils-Biker-Sauce-Bitch-Hot-Sauces-Gift-Set/
"Fatalii Fire Hot Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/fatalii-fire-hot-sauce/
"Hellfire Devil's Gold Hot Sauce, 5oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-devils-gold-hot-sauce/
"Hellfire Hot Sauces Sauceress's Private Reserve, 5oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-hot-sauces-sauceresss-private-reserve/
"High River Sauces Thunder Juice Tequila Infused Hot Sauce, 5oz.",$11.50,$10.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Thunder-Juice-Tequila-Infused-Hot-Sauce/
"Naga Jolokia 10 Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/naga-jolokia-10-hot-sauce/
"Simply Chili Select Fatalii Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-fatalii-puree/
"Simply Chili Select Puree Gift Set, 7/5oz.",$59.50,$55.65,CaJohns,https://www.hotsauce.com/simply-chili-select-puree-gift-set/
