Name,Price,Price witout Tax,Brand,Link
"Angry Cock Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Angry-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Angry Goat Pepper Co. Hot Cock Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Hot-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Pink Elephant Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-pink-elephant-hot-sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass Kickin Extreme Hot Sauces 3 Pack, 3/5oz.",$34.50,$29.85,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Extreme-Hot-Sauces-3-Pack/
"Ass Kickin Ghost Pepper Hot Sauce, 5oz.",$12.50,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ghost-pepper-hot-sauce/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Best of Naga Jolokia (Ghost) Gift Set, 4/5oz.",$38.50,$34.80,HotSauce,https://www.hotsauce.com/best-of-naga-jolokia-ghost-gift-set/
"Blair's (New) Ultra Death Hot Sauce, 5oz.",$25.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-ultra-death-hot-sauce/
"Blair's Pure Death Naga (Ghost) Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-pure-death-naga-ghost-jolokia-hot-sauce/
"Bravado Spice Co Ghost Pepper Blueberry Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-ghost-pepper-blueberry-hot-sauce/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Exitium Pineapple Ginger Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exitium-Pineapple-Ginger-Hot-Sauce/
"CaJohn's Black Garlic Ghost Pepper Hot Sauce, 5oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/Cajohns-Black-Garlic-Ghost-Pepper-Hot-Sauce/
"CaJohn's Black Garlic Hot Sauces 3 Pack, 3/5oz.",$31.00,$27.85,CaJohns,https://www.hotsauce.com/Cajohns-Black-Garlic-Hot-Sauces-3-Pack/
"CaJohn's Calavera Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/calavera-hot-sauce/
"CaJohn's Classic Small Batch Ghost Chile Pepper Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-ghost-chile-pepper-sauce/
