Name,Price,Price witout Tax,Brand,Link
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Pink Elephant Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-pink-elephant-hot-sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Arizona Gunslinger Smokin Hot Habanero Pepper Sauce, 5oz.",$5.50,$4.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Smokin-Hot-Habanero-Pepper-Sauce/
"Arizona Gunslinger Smokin Jalapeno Red, 5oz.",$5.50,$4.95,Arizona Gunslinger,https://www.hotsauce.com/arizona-gunslinger-smokin-jalapeno-red/
"Ass Kickin Cajun Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-hot-sauce/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"Ass Kickin Roasted Garlic Habanero Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-roasted-garlic-hot-sauce/
"Ass Kickin Sriracha Hot Sauce, 18oz.",$7.00,$6.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-hot-sauce/
"Ass Kickin Wasabi Horseradish Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-wasabi-horseradish-hot-sauce/
"Ass Kickin' Chile Lime Hot Sauce, 5oz.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-hot-sauce/
"Bee Sting Pineapple Guava Pepper Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-pineapple-guava-pepper-sauce/
"Bite Me! Lime/Cilantro Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/bite-me-lime-cilantro-hot-sauce/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Bless Your Heart Peach and Vidalia Onion Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/Bless-Your-Heart-Hot-Sauce/
"Bone Suckin Sweet Spicy Mustard, 12oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sweet-hot-mustard/
"Boyle's Irish Scream Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/boyles-irish-scream-hot-sauce/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"Bravado Spice Co. Jalapeno & Garlic Seasoning, 3oz.",$10.50,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-jalapeno-garlic-seasoning/
"Bravado Spice Co. Jalapeno & Green Apple Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-jalapeno-green-apple-hot-sauce/
"Bravado Spice Co. Pineapple and Jalapeno Margarita Mix, 16oz.",$10.50,$8.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Pineapple-And-Jalapeno-Margarita-Mix/
"Bufalo Jalapeno Mexican Hot Sauce, 5.5oz.",$3.50,$2.95,Bufalo Mexican,https://www.hotsauce.com/bufalo-jalapeno-mexican-hot-sauce/
"Bufalo Mexican Hot Sauce Set, 2/5.5oz.",$7.00,$5.90,Bufalo Mexican,https://www.hotsauce.com/Bufalo-Mexican-Hot-Sauce-Set/
"Bull Snort Texas Sweat Hot Sauce, 5oz.",$6.50,$5.95,Bull Snort,https://www.hotsauce.com/bull-snort-texas-sweat-hot-sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"Caboom! High Velocity Hot Sauce with Bullet Keychain, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/Caboom-High-Velocity-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's Black Bean and Corn Chipotle Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-chipotle-gourmet-salsa/
