name,priceNormal,priceWithoutax,branch,link
"African Rhino Peri Peri Gift Set, 3/6.75oz.",$25.50,$23.85,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-gift-set/
"African Rhino Peri-Peri Extra Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-extra-hot-sauce/
"African Rhino Peri-Peri Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-hot-sauce/
"African Rhino Peri-Peri Mild Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-mild-sauce/
"Choke Your Chicken Garlic Habanero Hot Sauce, 5oz.",$9.50,$7.95,HotSauce,https://www.hotsauce.com/choke-your-chicken-garlic-habanero-hot-sauce/
"Fat Cat Purry-Purry Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-purry-purry-hot-sauce/
"Heartbeat Lion's Mane Piri Piri Hot Sauce, 6oz.",$13.00,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Lions-Mane-Piri-Piri-Hot-Sauce/
"Melinda's NEW Peri Peri Garlic Hot Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-Peri-Peri-Garlic-Hot-Sauce/
"Melinda's NEW Peri Peri Hot Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-Peri-Peri-Hot-Sauce/
"Satan's Rage Pepper Hot Sauce, 5.7oz.",$13.00,$10.95,HotSauce,https://www.hotsauce.com/satans-rage-pepper-hot-sauce/
"Zulu Zulu Peri Peri Hot Sauce Set, 3/8.4oz.",$22.50,$0.00,Zulu Zulu,https://www.hotsauce.com/zulu-zulu-peri-peri-hot-sauce-set/
