name,priceNormal,priceWithoutax,branch,link
"Best of Red Savina Hot Sauces Gift Set, 3/5oz.",$25.50,$21.85,HotSauce,https://www.hotsauce.com/Best-Of-Red-Savina-Hot-Sauces-Gift-Set/
"CaBoom! Gourmet Hot Sauce, 5oz.",$7.50,$6.95,CaJohns,https://www.hotsauce.com/caboom-gourmet-hot-sauce/
"CaJohn's Lethal Ingestion Bhut Jolokia Hot Sauce, 2oz.",$19.50,$16.95,CaJohns,https://www.hotsauce.com/cajohns-lethal-ingestion-bhut-jolokia-hot-sauce/
"Heartbreaking Dawns Skylarking Anytime Hot Sauce, 5oz.",$7.50,$6.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-Skylarking-Anytime-Sauce/
"Hellfire Hellboy Annung un Rama Hot Sauce, 5oz.",$13.00,$11.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Annung-Un-Rama-Hot-Sauce/
"Hellfire Hellboy Extreme Hot Sauce, 5oz.",$18.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Extreme-Hot-Sauce/
"Hellfire Hellboy Legendary AF Hot Sauce, 5oz.",$17.00,$15.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Legendary-AF-Hot-Sauce/
"Hellfire Hellboy Right Hand of Doom Hot Sauce, 5oz.",$19.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Right-Hand-Of-Doom-Hot-Sauce/
"Krakatoa! Pure Red Savina Mash Hot Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/krakatoa-pure-red-savina-mash-hot-sauce/
"Melinda's Red Savina Hot Sauce, 5oz.",$6.50,$5.95,Melinda's,https://www.hotsauce.com/melindas-red-savina-hot-sauce/
"Naga Jolokia 10 Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/naga-jolokia-10-hot-sauce/
"Naga Jolokia 10 Wing Sauce, 12oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/naga-jolokia-10-wing-sauce/
"Nagasoreass Naga Jolokia Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/nagasoreass-naga-jolokia-hot-sauce/
"Pure Habanero Red Savina Hot Sauce, 4oz.",$11.50,$9.95,Ass Kickin,https://www.hotsauce.com/pure-habanero-red-savina-hot-sauce/
"Simply Chili Select Red Savina Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-red-savina-puree/
"West African Voodoo Juice, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/west-african-voodoo-juice/
"White Zombie Hot Sauce, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/white-zombie-hot-sauce/
