name,priceNormal,priceWithoutax,branch,link
"Alice Cooper Welcome To My Nightmare Mild Hot Sauce, 5oz.",$9.00,$8.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Welcome-To-My-Nightmare-Mild-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Bravado Spice Co. Black Garlic Carolina Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Black-Garlic-Carolina-Reaper-Hot-Sauce/
"Bravado Spice Co. Serrano and Basil Hot Sauce, 5oz.",$9.00,$8.49,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-serrano-and-basil-hot-sauce/
"Bumblefoot's The Sauce, 5oz.",$7.50,$6.49,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-The-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"CaJohn's Classic Small Batch Chile Lime Taco Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-chile-lime-taco-sauce/
"CaJohn's Classic Small Batch Serrano Pepper Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-serrano-pepper-sauce/
"CaJohn's La Segadora Reaper Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-segadora-reaper-hot-sauce/
"CaJohn's Quetzalcoatl Ghost Chile Hot Sauce, 5oz.",$9.50,$8.49,CaJohns,https://www.hotsauce.com/Cajohns-Quetzalcoatl-Ghost-Chile-Hot-Sauce/
"Danny Cash's Garlic Serrano Salvation Sauce (w/mini bible), 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-garlic-serrano-salvation-hot-sauce-mini-bible/
"Danny Cash's Salvation Caribbean Lime Hot Sauce, 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-salvation-caribbean-lime-hot-sauce/
"Delicious Suffering Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/delicious-suffering-hot-sauce/
