name,priceNormal,priceWithoutax,branch,link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"16 Million Natural PURE Capsaicin Crystals, 1 Gram, 1.7ml, Kit.",$39.00,$24.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-2ml/
"16 Million PURE Capsaicin Crystals, 3 Grams, 5ml, Kit.",$59.00,$29.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-5ml/
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's Black Cherry Vanilla Hot Sauce, 5oz.",$10.00,$8.49,CaJohns,https://www.hotsauce.com/cajohns-black-cherry-vanilla-hot-sauce/
"CaJohn's Leviathan Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
"CaJohn's Memento Mori Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Cajohns-Memento-Mori-Hot-Sauce/
"CaJohn's Quetzalcoatl Ghost Chile Hot Sauce, 5oz.",$9.50,$8.49,CaJohns,https://www.hotsauce.com/Cajohns-Quetzalcoatl-Ghost-Chile-Hot-Sauce/
"Da Bomb The Final Answer Extract, 2oz.",$65.00,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Dave's Gourmet Carolina Reaper Pepper Hot Sauce, 5oz.",$12.00,$10.49,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Carolina-Reaper-Pepper-Hot-Sauce/
"Dirty Dick's Hot Pepper Sauce With a Tropical Twist, 5oz.",$8.50,$7.49,Dirty Dicks,https://www.hotsauce.com/dirty-dicks-hot-pepper-sauce-with-tropical-twist/
"Hellfire Hellboy Right Hand of Doom Hot Sauce, 5oz.",$19.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Right-Hand-Of-Doom-Hot-Sauce/
"Pappy's Moonshine Madness Clear Hot Sauce, 3.4oz.",$7.50,$5.95,Pappy's BBQ,https://www.hotsauce.com/Pappys-Moonshine-Madness-Clear-Hot-Sauce/
