Name,Price,Price witout Tax,Brand,Link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"16 Million Natural PURE Capsaicin Crystals, 1 Gram, 1.7ml, Kit.",$39.00,$24.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-2ml/
"16 Million PURE Capsaicin Crystals, 100 Grams.",$375.00,$295.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-100-Grams/
"16 Million PURE Capsaicin Crystals, 1000 Grams / 1 Kilo.","$2,850.00","$2,450.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-1000-Grams/
"16 Million PURE Capsaicin Crystals, 12 Grams, 20ml, Kit.",$149.00,$125.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-20ml/
"16 Million PURE Capsaicin Crystals, 250 Grams.",$795.00,$675.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-250-Grams/
"16 Million PURE Capsaicin Crystals, 3 Grams, 5ml, Kit.",$59.00,$29.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-5ml/
"16 Million PURE Capsaicin Crystals, 50 Grams.",$225.00,$175.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-50-Grams/
"16 Million PURE Capsaicin Crystals, 500 Grams.","$1,495.00","$1,250.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-500-Grams/
"16 Million PURE Capsaicin Crystals, 6 Grams, 10ml, Kit.",$79.00,$74.95,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-10ml/
"16 Million PURE Capsaicin Crystals, 9 Gram, 15ml, Kit.",$99.00,$89.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-15ml/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"6 Million (SHU) Pure Capsicum Oleoresin Extract, .5oz. Kit.",$50.00,$34.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-15ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$40.00,$125.00,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$60.00,$79.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$50.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$10.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$11.00,$39.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Scorpion Pepper Hot Sauce, 5oz.",$43.50,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-scorpion-pepper-hot-sauce/
"Best of Carolina Reaper Gift Set #1, 3/5oz.",$33.00,$9.95,HotSauce,https://www.hotsauce.com/Best-Of-Carolina-Reaper-Gift-Set/
"Best of Scorpion Sauces Gift Set, 3/5oz.",$25.00,$39.85,HotSauce,https://www.hotsauce.com/Best-Of-Scorpion-Sauces-Gift-Set/
"Blair's (New) Ultra Death Hot Sauce, 5oz.",$43.00,$29.39,Blairs Sauces,https://www.hotsauce.com/blairs-ultra-death-hot-sauce/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$24.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$20.00,$46.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$15.00,$19.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Hydra 7-Pot Primo Hot Sauce, 5oz.",$15.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-hydra-7-pot-primo-hot-sauce/
"CaJohn's Leviathan Hot Sauce, 5oz.",$13.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
Name,Price,Price witout Tax,Brand,Link
"CaJohn's Rougaroux Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-rougaroux-hot-sauce/
"CaJohn's Trinidad Scorpion Hot Sauce, 5oz.",$13.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-hot-sauce/
"CaJohn's Trinidad Scorpion Puree, 2oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-puree/
"CaJohn's Trouble Bubble Gum with Pure 16 Million, 5g.",$20.00,$15.95,CaJohns,https://www.hotsauce.com/Cajohns-Trouble-Bubble-Gum-With-Pure-16-Million/
"Carolina Reaper Flakes, 1/2oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-flakes/
"Carolina Reaper Pepper Powder, .5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-pepper-powder/
"Challenge 7 Pot Douglah Trinidad Scorpion Pepper Plant - 2,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/Challenge-Moruga-Scorpion-Pepper-Plant/
"Challenge Ghost Chili Magic Plant - 1,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-ghost-chili-magic-plant/
"Challenge Jay's Red Ghost Scorpion Pepper Plant - 800,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-jays-red-ghost-scorpion-pepper-plant/
"Challenge Peach Ghost Chili Pepper Plant - 1,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-peach-ghost-chili-pepper-plant/
"Challenge Scorpion Pepper Magic Plant - 1,400,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-scorpion-pepper-magic-plant/
"Da Bomb Beyond Insanity and Torchbearer Garlic Reaper Hot Sauce Bundle, 5oz, 4oz.",$34.50,$31.90,Torchbearer,https://www.hotsauce.com/Da-Bomb-Beyond-Insanity-And-Torchbearer-Garlic-Reaper-Hot-Sauce-Bundle/
"Da Bomb Hottest Hot Extracts Gift Set, 2/4oz., 1/2 oz.",$103.00,$86.85,Da Bomb,https://www.hotsauce.com/da-bomb-hottest-hot-extracts-gift-set/
"Da Bomb The Final Answer Extract, 2oz.",$65.00,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Da Bomb Ultimate Sauce & Extracts Gift Set, 3/4oz., 1/2 oz.",$122.50,$101.80,Da Bomb,https://www.hotsauce.com/da-bomb-ultimate-sauce-extracts-gift-set/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, (Gallon) 128oz.",$150.00,$129.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce-gallon/
