Name,Price,Price witout Tax,Brand,Link
"Alice Cooper No More Mr. Nice Guy Medium Hot Sauce, 5oz.",$11.00,$10.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-No-More-Mr-Nice-Guy-Medium-Hot-Sauce/
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"Anchor Bar Honey BBQ Sauce, 14oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Honey-BBQ-Sauce/
"Anchor Bar Medium Original Buffalo Wing Sauce, 12oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Original-Buffalo-Wing-Sauce/
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Arizona Gunslinger Chipotle Pepper Salsa, 16oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Chipotle-Pepper-Salsa/
"Arizona Gunslinger Roasted Garlic Salsa, 16oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Roasted-Garlic-Salsa/
"Arizona Gunslinger Smokin Jalapeno Red, 5oz.",$5.50,$4.95,Arizona Gunslinger,https://www.hotsauce.com/arizona-gunslinger-smokin-jalapeno-red/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Ass Kickin Chipotle Honey Peanuts, 12oz.",$9.25,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chipotle-honey-peanuts/
"Ass Kickin Habanero Honey Roasted Peanuts, 12oz.",$10.50,$9.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-honey-roasted-peanuts-habanero-pepper/
"Ass Kickin Jelly Beans with Habanero Pepper, 9oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-jelly-beans-habanero-pepper/
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"Ass Kickin' Chile Lime Hot Sauce, 5oz.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-hot-sauce/
"Bacon Hot Sauce, 3/5oz.",$22.50,$20.85,HotSauce,https://www.hotsauce.com/bacon-hot-sauce-3-pack/
"Bacon Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/bacon-hot-sauce-5oz/
"Bayou Butt Burner Hot Sauce, 5oz.",$8.00,$7.49,Bayou Sauces,https://www.hotsauce.com/bayou-butt-burner-hot-sauce/
"Bayou Passion Hot Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-passion-hot-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
"Bee Sting Quasi Thai Sriracha Chili Sauce, 10oz.",$7.50,$6.95,Bee Sting,https://www.hotsauce.com/bee-sting-quasi-thai-sriracha-chili-sauce/
"Bee Sting Rainforest Honey Papaya Mustard Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-rainforest-honey-mustard-hot-sauce/
"Best of Chipotle Hot Sauces Gift Set, 3/5oz.",$28.50,$28.39,HotSauce,https://www.hotsauce.com/Best-Of-Chipotle-Hot-Sauces-Gift-Set/
"Bite Me! Lime/Cilantro Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/bite-me-lime-cilantro-hot-sauce/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
