name,priceNormal,priceWithoutax,branch,link
"Blair's Original Death Sauce with Chipotle, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-original-death-sauce-with-chipotle/
"Cholula Original Hot Sauce with Wooden Topper, 12oz.",$11.00,$8.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper-large/
"Cholula Original Hot Sauce with Wooden Topper, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper/
"Dave's Gourmet Insanity Hot Sauce, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-hot-sauce/
"Dave's Gourmet Temporary Insanity, 5oz.",$8.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-temporary-insanity/
"El Yucateco Caribbean Hot Sauce, 4oz.",$4.50,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-caribbean-hot-sauce/
"Lottie's Traditional Barbados Yellow Hot Pepper Sauce, 6.75oz.",$11.00,$9.75,Lotties,https://www.hotsauce.com/lotties-traditional-barbados-yellow-hot-pepper-sauce/
"PAIN 100% Hot Sauce, 7oz.",$13.00,$10.75,Original Juan,https://www.hotsauce.com/pain-100-hot-sauce/
"Pain Is Good Batch #218 Louisiana Style, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-218-louisiana-style-hot-sauce/
"TABASCO® Green Pepper Sauce, 5oz.",$7.50,$5.95,Tabasco,https://www.hotsauce.com/tabasco-green-pepper-sauce/
"Texas Pete Hot Sauce, 6oz.",$3.25,$2.75,Texas Pete,https://www.hotsauce.com/Texas-Pete-Hot-Sauce/
